"repeat","n","launch_position","requested_variant","csv_variant","sample_ms","sample_count","process_wall_ms","gpu_ms","energy_j","avg_power_w","max_power_w","joules_per_effective_gflop","max_temperature_c","avg_graphics_clock_mhz"
"3","8000","4","V5bf","V5bf_t32x32","200","105","32584.3799","26687.8","979.064494","30.04705","35.99","2.868353009","73","1593"
"3","8000","5","VLU","VLU","200","72","20860.8301","16558.2","614.071687","29.436589","34.97","1.799038144","72","1437.083"
"3","8000","6","V6a","V6a_b64","200","20","6025.2693","867.285","82.231141","13.647712","30.01","0.240911546","69","952.5"
"3","8000","7","V6b","V6b_b64","200","18","5362.8159","756.241","81.118825","15.126163","28.2","0.237652809","68","863.333"
"3","8000","8","V6c","V6c_b64","200","18","5409.928","627.749","82.871529","15.318416","32.22","0.242787682","67","960"
"3","8000","9","V6d","V6d_b64","200","17","4842.1054","609.73","78.378106","16.186782","31.95","0.229623356","66","1102.059"
"3","8000","10","V6e","V6e_b64","200","20","5624.1057","1341.58","96.909473","17.23109","29.14","0.283914471","67","1115.25"
"3","8000","11","V5c","V5c_b64","200","20","5644.1779","1754.57","106.709194","18.906065","34.4","0.312624592","68","1087.5"
"3","8000","12","V1","V1","200","690","197542.7965","194642","6687.289758","33.852359","35.15","19.591669212","75","1792.543"
"3","8000","13","V2","V2","200","673","200025.1836","194749","6680.183392","33.396712","35.27","19.570849781","73","1778.982"
"3","8000","14","V3","V3","200","71","21815.3335","16647.3","634.930519","29.104782","35.95","1.860148006","71","1465.775"
"3","16000","0","V3f","V3f","200","493","139809.8811","123962","4404.398878","31.502773","35.32","1.612939042","75","1430.629"
